City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
kruisfontein,za,-63,26,27.0,93,100,23.11
rasskazovo,ru,53,42,67.6,82,98,4.9
bethel,us,41,-177,65.88,85,100,14.2
yellowknife,ca,89,-125,32.4,95,29,17.34
greymouth,nz,-40,167,51.84,68,3,34.56
hermanus,za,-72,13,-26.55,39,84,12.12
warrnambool,au,-38,143,52.83,90,100,11.12
isafjordur,is,72,-23,34.07,71,11,4.23
formosa do rio preto,br,-11,-45,83.28,32,62,3.67
port elizabeth,za,-75,29,-59.1,100,100,6.62
alice springs,au,-28,129,57.58,41,8,8.79
sitka,us,57,-135,49.91,53,58,1.05
huarmey,pe,-15,-90,68.4,70,50,13.06
georgetown,sh,-6,-12,75.78,78,17,19.84
iqaluit,ca,88,-86,32.76,90,100,23.71
i-n-salah,dz,28,2,94.32,11,100,9.66
edinburgh of the seven seas,sh,-40,-9,49.68,68,100,25.37
kramfors,se,63,18,57.67,88,100,5.75
hasaki,jp,32,146,82.26,85,16,19.15
hawaiian paradise park,us,15,-138,77.22,86,56,5.79
iskateley,ru,83,55,31.14,94,100,5.84
hami,cn,39,93,56.21,22,8,7.18
altay,cn,48,89,38.89,74,2,2.37
padang,id,-3,98,81.72,76,100,16.91
st. john's,ca,46,-49,60.12,89,96,15.7
nurota,uz,41,65,83.52,18,0,10.54
belyy yar,ru,63,84,48.61,94,95,4.09
granada,ni,12,-86,93.11,63,100,10.67
talnakh,ru,89,100,32.76,96,27,11.1
argostolion,gr,38,19,79.2,78,0,7.43
somerset,us,40,-79,78.21,57,0,4.61
shingu,jp,27,137,82.98,81,19,12.17
bilibino,ru,82,166,32.94,91,12,17.98
happy valley-goose bay,ca,53,-57,63.03,64,42,11.36
hihifo,to,-16,-175,80.46,76,79,11.14
rongelap,mh,22,166,81.54,74,90,12.15
al mijlad,sd,11,27,75.27,78,97,8.75
kafin hausa,ng,12,10,79.93,64,68,5.01
coahuayana de hidalgo,mx,12,-107,82.08,72,69,7.92
thompson,ca,68,-96,41.61,82,100,16.8
puerto natales,cl,-65,-96,1.08,100,100,17.74
vega de alatorre,mx,22,-94,84.96,74,100,11.05
funafuti,tv,-9,180,84.06,76,100,17.56
codrington,ag,19,-61,82.98,81,95,15.9
lihue,us,21,-166,79.2,71,8,14.65
vilyuysk,ru,72,120,37.29,74,93,15.5
sandpoint,us,48,-116,78.06,29,100,3.62
olonkinbyen,sj,90,-8,32.94,92,25,14.81
kolarovo,sk,48,18,78.08,68,0,6.22
antsohihy,mg,-15,48,69.78,89,0,3.13
carnarvon,au,-29,103,61.56,74,16,8.81
fort st. john,ca,60,-121,74.53,23,10,4.5
kosh-agach,ru,50,88,43.59,85,91,3.98
fisterra,es,44,-14,69.48,87,53,11.39
anadyr,ru,74,175,28.26,84,80,7.96
kizhinga,ru,52,110,42.94,93,34,3.62
korla,cn,37,89,43.12,34,0,2.8
leticia,co,-4,-70,89.19,71,98,5.48
hammerfest,no,75,27,42.84,85,100,14.92
viligili,mv,1,77,82.98,72,0,17.27
mitsamiouli,km,-11,43,77.4,76,5,9.93
ribeira brava,pt,31,-18,76.14,82,0,15.19
berwick-upon-tweed,gb,56,-2,58.01,83,3,15.75
itamaraca,br,-8,-30,78.48,74,100,21.61
college,us,74,-152,35.82,97,100,20.96
cabo san lucas,mx,21,-111,82.62,73,41,5.5
derzhavinsk,kz,51,67,64.69,78,3,6.46
tiksi,ru,80,118,31.86,97,88,6.76
badger,us,89,-137,32.76,92,13,16.6
verkhnevilyuysk,ru,63,120,48.85,74,4,7.31
bredasdorp,za,-74,16,-44.09,100,100,4.74
uturoa,pf,-13,-151,80.1,74,8,10.29
suwayr,sa,30,41,93.29,12,0,10.02
aykhal,ru,76,105,34.38,93,12,14.56
alofi,nu,-28,-168,66.78,63,52,24.29
al ghayzah,ye,15,52,80.46,83,18,16.26
kiunga,pg,-5,140,71.29,90,97,1.83
maintirano,mg,-18,42,74.7,77,5,14.18
nemuro,jp,39,155,77.04,87,95,6.2
hope mills,us,35,-79,92.61,49,0,6.91
mildura,au,-33,144,53.71,82,84,10.8
harstad,no,73,12,47.7,77,100,20.78
saldanha,za,-36,3,54.0,69,100,33.64
east london,za,-44,34,49.68,85,100,36.33
lisala,cd,1,21,71.28,98,97,2.13
wakkanai,jp,46,139,66.96,86,56,8.95
adria,it,45,12,77.85,68,0,6.46
brisas de zicatela,mx,9,-99,77.76,84,100,4.63
sarmiento,ar,-46,-69,39.38,77,52,11.86
puerto san carlos,mx,9,-127,81.0,74,100,7.65
vohipaho,mg,-24,48,70.92,83,18,11.14
puerto ayora,ec,0,-93,76.32,73,100,14.32
utrik,mh,32,176,77.04,84,100,17.11
labasa,fj,-15,179,80.1,84,52,11.99
murzuq,ly,24,15,86.65,18,0,10.16
khandyga,ru,67,136,45.3,69,44,3.89
eynesil,tr,42,39,80.64,70,0,7.72
sirte,ly,31,17,78.96,62,0,9.69
sidi akkacha,dz,37,1,79.2,86,4,13.8
san antonio de pale,gq,-3,2,71.82,81,31,12.84
al burayqah,ly,28,19,78.03,52,0,9.37
galle,lk,2,79,82.26,78,27,12.01
nkongsamba,cm,5,10,68.47,99,100,1.57
nova sintra,cv,12,-33,80.46,84,10,14.29
tabou,ci,-2,-5,72.54,80,19,14.52
waingapu,id,-13,119,78.12,71,6,15.7
datong,cn,40,114,61.52,92,53,1.25
long beach,us,33,-78,85.32,63,0,5.95
muravlenko,ru,64,74,53.22,60,100,6.76
governor's harbour,bs,26,-75,84.6,73,10,21.36
ba,fj,-17,178,77.4,84,45,12.19
ulsteinvik,no,66,4,56.52,89,100,16.08
fiche,et,10,39,53.6,92,82,1.59
salinas,ec,-3,-82,71.82,85,95,18.52
t'ongch'on-up,kp,39,128,74.75,93,64,2.13
tamale,gh,9,-1,76.14,90,100,1.45
siquijor,ph,9,124,82.26,77,100,9.64
sisimiut,gl,67,-57,42.3,98,100,35.48
ambodifotatra,mg,-18,53,73.8,76,0,13.18
puerto deseado,ar,-47,-64,42.12,76,77,18.39
kokpekty,kz,49,82,62.83,45,2,1.45
faro,pt,36,-8,73.08,76,22,13.15
ribeira grande,pt,49,-35,59.22,84,100,19.06
margaret river,au,-39,92,52.02,84,45,22.03
nouadhibou,mr,23,-21,76.68,86,4,14.99
fale old settlement,tk,-8,-162,81.9,78,57,13.65
yuzhno-kurilsk,ru,45,153,59.94,100,100,11.79
broome,au,-16,125,64.18,66,9,2.3
pontianak,id,0,109,77.02,77,88,16.69
namibe,ao,-13,9,64.08,83,72,18.14
lebu,cl,-35,-98,54.18,68,11,35.48
bonthe,sl,1,-19,77.76,75,86,13.58
valle de la pascua,ve,8,-66,87.22,69,100,4.27
castanheira do ribatejo,pt,39,-9,72.68,67,70,8.03
souillac,mu,-28,61,68.04,86,0,11.36
villa gesell,ar,-39,-55,43.56,87,49,27.67
hamilton,bm,27,-68,83.52,71,7,16.89
ancud,cl,-41,-102,46.44,61,90,27.09
papatowai,nz,-78,167,-38.2,49,0,16.11
mahina,pf,-13,-148,79.74,78,2,10.13
jamaame,so,-1,45,78.12,87,33,15.19
susuman,ru,66,147,33.31,100,100,5.59
bichura,ru,50,108,42.93,92,85,1.41
chonchi,cl,-44,-92,43.92,90,100,31.81
duminichi,ru,54,35,63.61,97,100,4.97
revelstoke,ca,51,-117,59.54,23,4,1.21
yarmouth,ca,40,-64,74.34,64,35,9.57
klyuchi,ru,57,163,55.83,86,100,13.09
sanniquellie,lr,7,-9,72.12,99,100,2.48
petropavlovsk-kamchatsky,ru,48,169,53.28,96,100,17.6
toliara,mg,-23,42,69.48,76,0,19.28
polyarnyy,ru,88,44,31.86,95,67,9.33
culiacan,mx,25,-107,89.46,46,100,6.78
vadso,no,70,30,44.89,87,40,6.91
as suwayq,om,25,58,85.86,70,27,5.73
dudinka,ru,77,86,34.74,90,20,24.74
taiohae,pf,-4,-141,80.1,71,16,15.7
kariya,jp,35,137,85.77,75,63,3.36
nabire,id,-6,137,77.76,79,99,19.15
praia da vitoria,pt,43,-28,67.14,68,2,9.73
weno,fm,9,152,83.52,73,94,4.63
mbanza kongo,ao,-7,14,76.93,63,30,6.31
pathein,mm,15,93,82.08,83,100,12.12
ayaguz,kz,48,80,62.76,42,12,0.94
lompoc,us,25,-127,69.84,78,100,12.77
fonte boa,br,-3,-66,89.65,46,89,3.31
mont-dore,nc,-24,168,67.5,65,28,14.99
trinidad,bo,-15,-65,91.44,31,99,5.17
ruidoso,us,34,-106,87.4,21,0,24.83
hobyo,so,3,52,78.66,88,55,9.66
luderitz,na,-27,4,63.9,86,0,15.32
luwuk,id,-1,122,69.06,85,35,6.87
acarau,br,10,-39,80.46,81,91,11.83
pullambadi,in,11,79,84.43,60,98,13.96
tomatlan,mx,19,-107,83.7,78,100,10.18
flin flon,ca,58,-103,62.47,46,48,13.44
sao jose da coroa grande,br,-11,-31,77.58,76,63,16.46
kodiak,us,44,-156,64.26,94,43,13.29
igarka,ru,68,87,55.09,87,100,2.57
udachny,ru,81,104,33.48,94,100,6.15
lethem,gy,2,-57,79.52,53,100,3.15
noosa heads,au,-26,158,67.32,61,1,8.46
holice,cz,50,16,70.86,91,0,1.14
siwa oasis,eg,28,26,84.6,28,0,5.26
qarauyl,kz,48,78,70.77,39,34,3.04
kisanga,tz,-8,38,71.71,83,0,6.33
thinadhoo,mv,1,64,82.44,70,57,3.06
kavaratti,in,13,67,79.92,79,2,11.01
vila franca do campo,pt,37,-25,76.28,94,40,16.11
la sarre,ca,50,-80,57.6,73,100,7.72
mushie,cd,-3,17,84.56,46,53,3.94
sept-iles,ca,51,-66,59.52,90,96,6.85
el obeid,sd,13,30,83.62,55,60,7.63
muzayri',ae,23,55,91.15,34,45,11.23
shelekhov,ru,52,104,40.6,91,98,1.45
balqash,kz,47,75,75.51,28,5,8.05
tura,ru,68,101,48.38,63,100,1.95
blagoveshchensk,ru,51,127,62.44,95,100,4.85
callao,pe,-15,-83,65.34,77,95,14.94
rindge,us,43,-72,74.7,62,28,7.38
almeirim,br,0,-53,88.83,37,16,5.1
andergrove,au,-21,150,70.57,60,92,15.59
plouzane,fr,48,-5,64.26,89,1,6.06
enewetak,mh,17,159,83.16,74,100,12.3
new norfolk,au,-55,136,34.56,79,69,34.43
ciudad lazaro cardenas,mx,8,-108,81.72,71,83,8.81
constantia,za,-39,7,48.78,67,100,40.71
holualoa,us,5,-156,81.72,74,0,5.3
holbrook,us,35,-110,91.85,18,85,28.61
sao marcos,br,-29,-51,59.32,89,92,1.19
selfoss,is,59,-20,55.98,96,100,18.34
kasane,bw,-18,25,66.36,29,6,5.95
iquitos,pe,-3,-74,86.05,68,93,4.72
port saint john's,za,-39,37,58.68,70,100,28.52
new plymouth,nz,-38,172,53.28,76,8,38.81
lukhovitsy,ru,55,39,61.2,97,95,9.4
magadan,ru,59,151,52.93,92,97,20.22
tual,id,-8,131,77.59,75,43,20.94
brookings,us,40,-142,67.5,67,100,12.26
gamba,ga,-3,9,72.54,86,100,6.42
atafu village,tk,2,-172,84.42,66,54,18.81
meizhou,cn,24,116,75.51,97,91,2.21
corner brook,ca,51,-59,65.59,76,57,14.85
kingston,nf,-34,163,60.12,76,15,10.13
mitu,co,-1,-70,85.12,71,84,2.39
pompeia,br,-22,-50,73.42,50,38,5.41
arafat,mr,18,-16,86.02,80,78,12.93
yefremov,ru,53,38,68.09,72,31,6.15
punta del este,uy,-41,-50,51.48,72,100,29.46
sidi okba,dz,35,6,90.5,27,0,17.43
queenstown,nz,-42,168,51.3,74,0,38.1
singarayakonda,in,15,81,83.7,78,32,12.75
haiku-pauwela,us,26,-154,77.4,72,5,8.41
rockland,us,43,-68,67.14,78,0,10.31
puerto san jose,gt,12,-91,83.7,69,100,6.82
taoudenni,ml,23,-7,99.64,9,69,3.33
filadelfia,py,-22,-61,82.09,43,0,2.53
ponta delgada,pt,29,-27,77.4,77,100,14.29
san juan,pr,22,-66,82.8,82,4,19.39
vernon,ca,48,-132,61.38,73,95,23.06
ganshui,cn,29,107,68.49,99,100,2.26
oban,gb,56,-6,59.61,90,3,9.46
olean,us,42,-78,79.56,47,0,4.61
maceio,br,-11,-34,77.76,76,100,14.41
mar del plata,ar,-44,-55,46.08,78,100,21.63
petrovsk,ru,57,39,51.57,98,28,4.5
arenapolis,br,-13,-58,84.09,34,2,1.25
muisne,ec,3,-84,79.92,81,100,23.49
tolanaro,mg,-36,49,55.08,66,74,17.83
yichang,cn,31,111,69.24,98,100,3.04
kabinda,cd,-7,25,74.52,30,1,4.94
kiama,au,-35,151,56.89,60,100,6.87
arkalyk,kz,50,66,72.5,50,8,7.43
waddan,ly,29,17,82.62,37,0,9.06
antofagasta,cl,-24,-69,61.34,6,0,10.78
tazovsky,ru,83,74,33.3,93,100,4.18
casper,us,43,-106,88.36,22,98,3.67
buenavista,co,9,-76,79.83,86,100,8.99
papao,pf,-19,-150,74.88,67,100,12.71
mil'kovo,ru,56,157,57.18,96,100,16.24
kidal,ml,19,3,98.04,17,35,9.26
esikhaleni,za,-29,32,68.04,82,11,17.83
turbat,pk,26,63,81.19,70,57,2.44
port-vila,vu,-18,168,73.65,73,100,21.54
nema,mr,16,-8,93.25,40,68,10.71
pavlodar,kz,52,78,61.32,78,99,8.75
huaibei,cn,34,117,73.29,97,94,4.18
yoichi,jp,45,139,67.86,87,64,3.36
chifeng,cn,43,119,70.45,70,99,9.8
koungheul,sn,14,-15,78.08,89,96,8.68
kopychyntsi,ua,49,26,66.79,68,4,5.86
fada,td,20,25,90.27,20,6,8.86
la'ie,us,25,-157,77.94,76,2,12.1
pisco,pe,-26,-93,66.78,76,49,17.81
acapulco de juarez,mx,7,-103,77.76,86,99,13.44
santa elena de uairen,ve,6,-62,70.84,84,97,3.53
mili,mh,7,174,82.98,80,100,18.14
ust'-ilimsk,ru,60,103,56.28,97,100,0.31
masterton,nz,-46,178,48.6,89,100,17.94
aasiaat,gl,78,-64,26.29,97,100,20.02
reggane,dz,26,-3,94.95,13,3,8.77
dalandzadgad,mn,43,104,59.07,41,0,10.54
natal,br,-2,-25,77.04,86,82,19.42
portland,au,-54,133,35.46,68,32,31.23
tranovaho,mg,-26,43,67.32,72,5,16.31
afaahiti,pf,-27,-145,65.34,73,0,19.42
joshimath,in,33,80,42.78,40,23,5.86
athni,in,17,75,70.45,90,5,10.38
sassenberg,de,52,8,64.24,72,2,4.25
kalanwali,in,30,75,87.13,62,31,4.83
laguna,br,-33,-41,63.72,76,85,31.05
oranjemund,na,-31,11,60.84,78,57,20.45
tieli,cn,47,128,63.86,78,80,4.36
igrim,ru,63,64,45.21,91,77,5.21
puerto penasco,mx,31,-113,88.65,49,100,39.55
geraldton,au,-29,107,62.28,80,28,19.48
karamay,cn,45,85,76.55,18,3,6.49
el calafate,ar,-50,-78,45.36,91,100,11.34
t'aebaek,kr,37,129,71.1,95,14,1.01
nantucket,us,38,-70,78.12,52,1,5.79
kuusamo,fi,66,30,50.04,72,56,2.66
maughold,im,54,-4,60.91,88,0,23.02
ban talat bueng,th,13,101,76.89,64,100,5.23
fuling,cn,30,107,75.11,97,56,2.51
benguela,ao,-12,9,65.34,83,19,16.62
esil,kz,52,66,63.09,86,69,6.44
niteroi,br,-23,-43,69.62,88,100,4.61
mata-utu,wf,-11,-175,82.8,75,37,20.0
pacific grove,us,32,-130,68.58,70,51,18.32
aral,kz,48,62,79.3,27,5,3.44
kapuskasing,ca,60,-80,48.24,88,3,17.27
zvenigovo,ru,56,48,58.48,86,91,3.98
kroya,id,-8,109,75.6,86,93,9.64
castillos,uy,-41,-47,52.02,84,38,29.93
sabinas,mx,28,-101,99.9,21,3,16.11
yelizovo,ru,53,154,56.7,98,100,10.74
singaraja,id,-8,115,79.05,67,3,2.62
saint-pierre,pm,45,-56,67.14,98,24,16.4
arraial do cabo,br,-33,-31,62.46,81,100,9.57
kavieng,pg,2,154,82.08,77,20,8.43
debre werk',et,11,38,59.86,79,93,3.67
luanda,ao,-10,11,69.12,89,99,14.76
klaksvik,fo,64,-6,51.66,97,100,19.93
lazaro cardenas,mx,27,-119,69.66,83,100,12.53
arrifes,pt,37,-27,76.5,88,97,7.85
yeniseysk,ru,58,92,47.73,88,93,0.45
port macquarie,au,-34,158,61.74,65,95,9.4
ta`u,as,-12,-165,81.36,80,75,19.73
ghanzi,bw,-22,21,67.41,18,76,7.52
zhezqazghan,kz,47,66,81.14,21,93,6.2
road town,vg,23,-64,83.16,77,0,18.45
howrah,au,-42,156,54.72,74,82,15.26
sant lluis,es,39,5,80.82,74,0,7.61
tazacorte,es,30,-25,77.22,75,100,11.27
taulaga,as,-10,-165,82.26,78,24,17.69
bani walid,ly,30,14,86.81,22,15,7.58
saint-francois,gp,16,-60,79.2,86,100,13.67
port moresby,pg,-12,146,75.96,73,79,24.92
punta arenas,cl,-63,-77,20.16,80,100,29.28
nadi,fj,-18,177,76.68,85,88,18.39
bayan nur,cn,43,107,61.92,48,0,16.33
kralendijk,bq,12,-68,86.07,80,100,9.62
qandala,so,12,50,86.58,67,98,11.03
vorkuta,ru,85,70,32.94,95,96,0.92
sierra grande,ar,-42,-67,43.03,77,100,10.2
sinazongwe,zm,-17,28,75.13,55,63,0.83
dunedin,nz,-56,177,42.84,98,100,13.51
santo antonio,st,1,8,75.96,87,91,10.51
keelung,tw,26,122,82.08,83,3,7.72
nar'yan-mar,ru,68,50,43.09,94,97,12.62
akureyri,is,63,-18,53.1,86,33,9.78
midelt,ma,33,-4,84.99,20,96,13.98
progreso,mx,23,-90,85.68,72,81,16.31
port alfred,za,-43,30,56.88,87,100,37.4
inekar,ml,16,3,94.24,41,20,16.4
espinosa,br,-15,-43,78.15,31,74,1.5
banjar,id,-8,107,76.14,85,39,17.87
solnechnyy,ru,51,136,65.01,69,22,5.37
brokopondo,sr,3,-55,78.19,55,21,1.9
mana,gf,6,-54,80.83,81,81,23.13
noshiro,jp,41,138,75.06,90,66,3.65
kenora,ca,50,-94,68.32,32,97,7.34
paracuru,br,4,-35,80.28,72,98,14.32
cockburn town,bs,28,-73,82.98,80,59,17.09
tasbuget,kz,45,66,73.45,20,64,10.0
bhattarai danda,np,28,84,69.58,98,100,2.06
barka',om,24,58,86.58,70,94,6.87
medina,ph,9,125,81.05,72,92,4.32
aioun,mr,19,-9,96.48,27,25,8.3
eilat,il,30,34,73.54,71,0,7.96
mutoko,zw,-17,32,64.44,48,31,3.29
key west,us,25,-82,85.68,73,100,21.43
walvis bay,na,-25,6,63.18,82,0,11.23
merritt island,us,30,-78,83.7,78,0,9.69
tsuyama,jp,35,134,77.86,91,33,0.38
berezovyy,ru,55,137,64.38,62,12,15.46
richards bay,za,-34,40,58.32,64,0,11.97
tutoia,br,2,-42,80.46,74,5,19.66
bumba,cd,3,22,71.4,97,31,2.68
san-pedro,ci,5,-7,73.54,98,86,2.77
port nelson,bs,24,-75,83.52,77,0,19.15
phillip island,au,-39,145,57.24,82,100,22.03
karratha,au,-23,116,61.0,33,0,9.6
fortaleza,br,2,-35,79.56,78,3,18.16
fuglafjordur,fo,63,-7,53.46,96,100,20.04
paciran,id,-5,113,81.18,79,1,21.99
maumere,id,-7,122,79.74,70,6,21.25
lorengau,pg,0,146,81.54,79,100,19.77
barcelos,br,1,-63,83.82,72,92,1.99
svetlyy,ru,51,61,69.21,62,43,7.02
tuzha,ru,58,48,48.9,94,42,3.02
golyshmanovo,ru,56,68,51.67,57,79,6.73
vilyuchinsk,ru,43,162,63.36,85,100,11.95
manikpur,in,25,81,84.33,73,100,2.68
pak phanang,th,9,102,81.9,75,62,5.1
mount pearl,ca,33,-48,80.82,78,27,17.47
kapa'a,us,39,-155,73.26,82,6,14.94
talakan,ru,50,131,62.08,98,90,4.25
la passe,sc,-6,61,79.38,76,39,18.88
green river,us,42,-110,86.67,18,100,15.26
cavalaire-sur-mer,fr,42,7,80.28,73,0,8.97
spasskoye,ru,45,133,69.67,90,0,4.12
mukah,my,6,110,84.06,75,89,14.43
malabar,au,-38,158,55.8,66,55,7.9
rozhyshche,ua,51,25,68.13,76,23,5.32
mandalgovi,mn,47,105,44.62,90,13,4.12
faya-largeau,td,18,18,93.9,18,25,3.6
chilliwack,ca,49,-122,72.45,34,3,5.68
namtsy,ru,63,129,53.29,49,100,6.26
sao felix do xingu,br,-7,-54,86.0,33,0,2.53
lexington,us,41,-100,88.75,14,4,16.33
rio gallegos,ar,-53,-69,35.47,88,68,13.87
bhag,pk,29,68,94.17,34,10,8.41
ubari,ly,25,12,79.39,20,0,4.92
ishikawa,jp,27,127,82.26,84,85,9.44
coyhaique,cl,-47,-72,18.95,95,84,7.99
molde,no,63,7,60.85,93,99,6.91
brigantine,us,38,-73,78.84,50,1,6.85
kosciuszko national park,au,-36,148,40.03,92,42,0.83
bejaia,dz,38,5,80.28,75,0,6.85
ad douiem,sd,14,32,92.01,38,93,9.37
waterloo,sl,8,-13,80.11,82,9,7.25
hithadhoo,mv,-4,73,81.0,76,74,18.14
abilene,us,33,-100,107.65,15,0,11.7
awjilah,ly,28,23,83.86,36,0,10.58
xunchang,cn,28,105,74.16,99,100,2.3
meulaboh,id,3,94,82.26,76,90,8.01
kwali,ng,9,7,76.19,92,100,1.79
tobi village,pw,2,131,79.38,87,100,13.87
bikenibeu village,ki,4,178,84.06,70,92,6.62
belem de sao francisco,br,-9,-39,85.23,45,100,17.13
namsos,no,65,11,59.14,94,100,5.75
tobruk,ly,33,24,78.84,86,0,15.12
cargados carajos,mu,-13,64,76.5,80,13,14.65
buala,sb,-7,160,82.8,79,57,20.83
bikin,ru,47,134,68.14,80,0,3.8
sonsorol village,pw,6,131,78.66,85,100,11.32
san patricio,mx,11,-111,81.9,78,69,13.44
gueret,fr,46,2,69.17,79,6,1.39
nago,jp,28,128,81.36,81,0,8.05
bel ombre,sc,-4,54,78.48,84,87,16.78
gobabis,na,-21,19,64.18,21,16,7.43
jaicos,br,-7,-41,79.75,58,63,2.95
son la,vn,21,104,65.25,99,100,0.38
gonzaga,ph,18,122,72.37,98,84,0.49
